cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,3,2,10,6,6,1,2,4,9,5
n15,3,2,10,6,6,1,2,0,9,5
n18,3,2,10,6,6,1,2,0,9,5
n17,3,2,10,6,6,1,2,0,9,5
n22,3,2,10,6,6,1,2,0,9,5
n21,3,2,10,6,6,1,2,0,9,5
n24,3,2,10,6,6,1,2,7,9,5
n23,3,2,10,6,6,1,2,0,9,5
n30,3,2,10,6,6,1,2,8,9,5
n29,3,2,10,6,6,1,2,8,9,5
n32,3,2,10,6,6,1,2,8,9,5
n31,3,2,10,6,6,1,2,8,9,5
n36,3,2,10,6,6,1,2,8,9,5
n35,3,2,10,6,6,1,2,8,9,5
n38,3,2,10,6,6,1,2,8,9,5
n37,3,2,10,6,6,1,2,8,9,5
n46,3,2,10,6,6,8,5,0,9,5
n45,3,2,10,6,6,8,5,0,9,5
n48,3,2,10,6,6,0,5,0,9,5
n47,3,2,10,6,6,0,5,0,9,5
n52,3,2,10,6,6,0,9,3,9,5
n51,3,2,10,6,6,0,9,3,9,5
n54,3,2,10,6,6,0,9,3,9,5
n53,3,2,10,6,6,0,9,3,9,5
n60,3,2,10,6,6,6,7,9,9,5
n59,3,2,10,6,6,0,7,9,9,5
n62,3,2,10,6,6,0,0,9,9,5
n61,3,2,10,6,6,0,0,9,9,5
n66,3,2,10,6,6,0,4,9,9,5
n65,3,2,10,6,6,9,4,9,9,5
n68,3,2,10,6,6,9,0,9,9,5
n67,3,2,10,6,6,9,0,9,9,5
n78,3,2,10,6,6,2,0,7,7,5
n77,3,2,10,6,6,2,0,7,7,5
n80,3,2,10,6,6,2,5,7,7,5
n79,3,2,10,6,6,2,5,7,7,5
n84,3,2,10,6,6,2,0,7,7,5
n83,3,2,10,6,6,2,9,7,7,5
n86,3,2,10,6,6,2,0,7,7,5
n85,3,2,10,6,6,2,0,7,7,5
n92,3,2,10,6,6,2,2,7,7,5
n91,3,2,10,6,6,2,4,7,7,5
n94,3,2,10,6,6,2,0,7,7,5
n93,3,2,10,6,6,2,0,7,7,5
n98,3,2,10,6,6,2,3,7,7,5
n97,3,2,10,6,6,2,3,7,7,5
n100,3,2,10,6,6,2,3,7,7,5
n99,3,2,10,6,6,2,3,7,7,5
n108,3,2,10,6,6,10,0,7,7,5
n107,3,2,10,6,6,10,0,7,7,5
n110,3,2,10,6,6,10,1,7,7,5
n109,3,2,10,6,6,10,1,7,7,5
n114,3,2,10,6,6,10,1,7,7,5
n113,3,2,10,6,6,10,1,7,7,5
n116,3,2,10,6,6,10,0,7,7,5
n115,3,2,10,6,6,10,0,7,7,5
n122,3,2,10,6,6,10,8,7,7,5
n121,3,2,10,6,6,10,8,7,7,5
n124,3,2,10,6,6,10,8,7,7,5
n123,3,2,10,6,6,10,8,7,7,5
n128,3,2,10,6,6,10,0,7,7,5
n127,3,2,10,6,6,10,0,7,7,5
n130,3,2,10,6,6,10,7,7,7,5
n129,3,2,10,6,6,10,0,7,7,5
n142,3,2,10,6,6,8,6,0,8,5
n141,3,2,10,6,6,8,6,0,8,5
n144,3,2,10,6,6,8,6,0,8,5
n143,3,2,10,6,6,8,6,0,8,5
n148,3,2,10,6,6,8,6,10,8,5
n147,3,2,10,6,6,8,6,10,8,5
n150,3,2,10,6,6,8,6,0,8,5
n149,3,2,10,6,6,8,6,10,8,5
n156,3,2,10,6,6,8,5,1,8,5
n155,3,2,10,6,6,8,5,1,8,5
n158,3,2,10,6,6,8,5,0,8,5
n157,3,2,10,6,6,8,5,0,8,5
n162,3,2,10,6,6,8,0,0,8,5
n161,3,2,10,6,6,8,0,0,8,5
n164,3,2,10,6,6,8,0,7,8,5
n163,3,2,10,6,6,8,0,0,8,5
n172,3,2,10,6,6,8,3,7,8,5
n171,3,2,10,6,6,8,3,7,8,5
n174,3,2,10,6,6,8,3,7,8,5
n173,3,2,10,6,6,8,3,7,8,5
n178,3,2,10,6,6,8,0,7,8,5
n177,3,2,10,6,6,8,0,7,8,5
n180,3,2,10,6,6,8,10,7,8,5
n179,3,2,10,6,6,8,10,7,8,5
n186,3,2,10,6,6,8,9,0,8,5
n185,3,2,10,6,6,8,9,8,8,5
n188,3,2,10,6,6,8,9,8,8,5
n187,3,2,10,6,6,8,9,8,8,5
n192,3,2,10,6,6,8,0,0,8,5
n191,3,2,10,6,6,8,0,10,8,5
n194,3,2,10,6,6,8,0,0,8,5
n193,3,2,10,6,6,8,0,0,8,5
n204,3,2,10,6,6,8,3,5,8,5
n203,3,2,10,6,6,8,3,5,8,5
n206,3,2,10,6,6,8,3,5,8,5
n205,3,2,10,6,6,8,3,5,8,5
n210,3,2,10,6,6,8,3,5,8,5
n209,3,2,10,6,6,8,3,5,8,5
n212,3,2,10,6,6,8,3,5,8,5
n211,3,2,10,6,6,8,3,5,8,5
n218,3,2,10,6,6,8,3,5,8,5
n217,3,2,10,6,6,8,3,5,8,5
n220,3,2,10,6,6,8,3,5,8,5
n219,3,2,10,6,6,8,3,5,8,5
n224,3,2,10,6,6,8,3,5,8,5
n223,3,2,10,6,6,8,3,5,8,5
n226,3,2,10,6,6,8,3,5,8,5
n225,3,2,10,6,6,8,3,5,8,5
n234,3,2,10,6,6,8,3,5,8,5
n233,3,2,10,6,6,8,3,5,8,5
n236,3,2,10,6,6,8,3,5,8,5
n235,3,2,10,6,6,8,3,5,8,5
n240,3,2,10,6,6,8,3,5,8,5
n239,3,2,10,6,6,8,3,5,8,5
n242,3,2,10,6,6,8,3,5,8,5
n241,3,2,10,6,6,8,3,5,8,5
n248,3,2,10,6,6,8,3,5,8,5
n247,3,2,10,6,6,8,3,5,8,5
n250,3,2,10,6,6,8,3,5,8,5
n249,3,2,10,6,6,8,3,5,8,5
n254,3,2,10,6,6,8,3,5,8,5
n253,3,2,10,6,6,8,3,5,8,5
n256,3,2,10,6,6,8,3,5,8,5
n255,3,2,10,6,6,8,3,5,8,5
n270,6,8,10,6,6,6,0,6,6,5
n269,0,8,10,6,6,6,0,6,6,5
n272,0,8,10,6,6,6,10,6,6,5
n271,0,8,10,6,6,6,10,6,6,5
n276,10,0,10,6,6,6,0,6,6,5
n275,10,0,10,6,6,6,2,6,6,5
n278,10,7,10,6,6,6,8,6,6,5
n277,10,0,10,6,6,6,8,6,6,5
n284,1,10,10,6,6,6,0,6,6,5
n283,1,6,10,6,6,6,0,6,6,5
n286,0,9,10,6,6,6,0,6,6,5
n285,0,0,10,6,6,6,0,6,6,5
n290,5,0,10,6,6,6,0,6,6,5
n289,5,0,10,6,6,6,0,6,6,5
n292,5,0,10,6,6,6,0,6,6,5
n291,5,0,10,6,6,6,0,6,6,5
n300,1,8,10,6,6,6,9,6,6,5
n299,1,8,10,6,6,6,9,6,6,5
n302,1,8,10,6,6,6,9,6,6,5
n301,1,8,10,6,6,6,9,6,6,5
n306,1,8,10,6,6,6,9,6,6,5
n305,1,8,10,6,6,6,9,6,6,5
n308,1,8,10,6,6,6,9,6,6,5
n307,1,8,10,6,6,6,9,6,6,5
n314,1,0,10,6,6,6,1,6,6,5
n313,1,0,10,6,6,6,1,6,6,5
n316,1,8,10,6,6,6,1,6,6,5
n315,1,8,10,6,6,6,1,6,6,5
n320,1,4,10,6,6,6,10,6,6,5
n319,1,0,10,6,6,6,10,6,6,5
n322,1,9,10,6,6,6,10,6,6,5
n321,1,9,10,6,6,6,10,6,6,5
n332,2,7,10,6,6,8,7,6,6,5
n331,2,7,10,6,6,8,7,6,6,5
n334,2,7,10,6,6,8,7,6,6,5
n333,2,7,10,6,6,8,7,6,6,5
n338,2,0,10,6,6,8,7,6,6,5
n337,2,0,10,6,6,8,7,6,6,5
n340,2,0,10,6,6,8,7,6,6,5
n339,2,0,10,6,6,8,7,6,6,5
n346,2,0,10,6,6,8,7,6,6,5
n345,2,0,10,6,6,8,7,6,6,5
n348,2,0,10,6,6,8,7,6,6,5
n347,2,0,10,6,6,8,7,6,6,5
n352,2,0,10,6,6,8,7,6,6,5
n351,2,0,10,6,6,8,7,6,6,5
n354,2,7,10,6,6,8,7,6,6,5
n353,2,7,10,6,6,8,7,6,6,5
n362,10,8,10,6,6,8,7,6,6,5
n361,10,8,10,6,6,8,7,6,6,5
n364,10,8,10,6,6,8,7,6,6,5
n363,10,8,10,6,6,8,7,6,6,5
n368,10,8,10,6,6,8,7,6,6,5
n367,10,8,10,6,6,8,7,6,6,5
n370,10,8,10,6,6,8,7,6,6,5
n369,10,8,10,6,6,8,7,6,6,5
n376,5,8,10,6,6,8,7,6,6,5
n375,5,8,10,6,6,8,7,6,6,5
n378,5,8,10,6,6,8,7,6,6,5
n377,5,8,10,6,6,8,7,6,6,5
n382,5,8,10,6,6,8,7,6,6,5
n381,5,8,10,6,6,8,7,6,6,5
n384,5,8,10,6,6,8,7,6,6,5
n383,5,8,10,6,6,8,7,6,6,5
n396,3,10,10,6,6,5,8,4,6,5
n395,3,10,10,6,6,5,8,4,6,5
n398,0,0,10,6,6,5,8,0,6,5
n397,0,0,10,6,6,5,8,0,6,5
n402,4,0,10,6,6,5,8,0,6,5
n401,4,0,10,6,6,5,8,8,6,5
n404,4,6,10,6,6,5,8,0,6,5
n403,4,0,10,6,6,5,8,0,6,5
n410,0,0,10,6,6,9,8,4,6,5
n409,2,0,10,6,6,9,8,4,6,5
n412,9,10,10,6,6,0,8,10,6,5
n411,9,0,10,6,6,4,8,10,6,5
n416,6,0,10,6,6,10,8,0,6,5
n415,6,0,10,6,6,10,8,0,6,5
n418,6,0,10,6,6,1,8,0,6,5
n417,6,7,10,6,6,1,8,8,6,5
n426,0,9,10,6,6,9,8,0,6,5
n425,0,9,10,6,6,9,8,0,6,5
n428,0,9,10,6,6,9,8,0,6,5
n427,0,9,10,6,6,9,8,0,6,5
n432,0,9,10,6,6,9,8,0,6,5
n431,0,9,10,6,6,9,8,0,6,5
n434,0,9,10,6,6,9,8,0,6,5
n433,1,9,10,6,6,9,8,0,6,5
n440,0,9,10,6,6,9,8,1,6,5
n439,0,9,10,6,6,9,8,1,6,5
n442,0,9,10,6,6,9,8,1,6,5
n441,7,9,10,6,6,9,8,1,6,5
n446,0,9,10,6,6,9,8,5,6,5
n445,0,9,10,6,6,9,8,3,6,5
n448,0,9,10,6,6,9,8,5,6,5
n447,2,9,10,6,6,9,8,5,6,5
n458,0,0,10,6,6,8,8,2,6,5
n457,0,0,10,6,6,8,8,2,6,5
n460,0,6,10,6,6,8,8,2,6,5
n459,0,6,10,6,6,8,8,2,6,5
n464,8,5,10,6,6,8,8,2,6,5
n463,8,8,10,6,6,8,8,2,6,5
n466,8,5,10,6,6,8,8,2,6,5
n465,8,0,10,6,6,8,8,2,6,5
n472,3,0,10,6,6,0,8,2,6,5
n471,3,0,10,6,6,0,8,2,6,5
n474,10,0,10,6,6,8,8,2,6,5
n473,0,0,10,6,6,0,8,2,6,5
n478,0,0,10,6,6,0,8,2,6,5
n477,0,7,10,6,6,0,8,2,6,5
n480,0,0,10,6,6,0,8,2,6,5
n479,0,0,10,6,6,4,8,2,6,5
n488,0,5,10,6,6,2,8,0,6,5
n487,0,5,10,6,6,0,8,9,6,5
n490,0,5,10,6,6,0,8,9,6,5
n489,0,5,10,6,6,0,8,9,6,5
n494,10,7,10,6,6,7,8,0,6,5
n493,10,0,10,6,6,7,8,0,6,5
n496,0,0,10,6,6,7,8,0,6,5
n495,0,0,10,6,6,7,8,0,6,5
n502,0,0,10,6,6,4,8,0,6,5
n501,0,0,10,6,6,0,8,0,6,5
n504,0,8,10,6,6,10,8,9,6,5
n503,0,0,10,6,6,0,8,9,6,5
n508,3,2,10,6,6,10,8,0,6,5
n507,3,0,10,6,6,0,8,0,6,5
n510,0,0,10,6,6,0,8,0,6,5
n509,0,1,10,6,6,0,8,0,6,5
