cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50
n16,3,0,5,8,0,7,5,0,7,0,2,6,8,0,10,9,9,5,5,8,4,6,2,9,4,8,7,4,3,10,7,8,10,6,4,2,4,5,0,5,1,8,9,0,2,0,4,4,5,1
n15,3,0,5,8,0,7,5,0,7,0,0,6,8,0,10,9,9,5,5,8,4,6,2,9,4,8,7,4,3,10,7,8,10,6,4,2,4,5,0,5,1,8,9,0,0,0,4,4,5,1
n18,3,0,5,8,0,7,5,0,7,0,9,6,8,0,10,9,9,5,5,8,4,6,2,9,4,8,7,4,3,8,7,8,10,6,4,2,4,5,0,5,1,8,9,0,9,10,0,4,5,1
n17,3,0,5,8,0,7,5,0,7,0,9,6,8,0,10,9,9,5,5,8,4,6,2,9,4,8,7,4,3,8,7,8,10,6,4,2,4,5,0,5,1,8,9,0,9,0,0,4,5,1
n22,9,0,5,8,0,7,5,0,7,3,0,8,8,1,10,9,0,5,5,8,4,6,2,0,4,8,0,4,3,0,4,8,10,6,4,2,4,5,5,5,1,8,9,0,10,0,0,4,5,1
n21,9,0,5,8,0,7,5,0,7,3,0,8,8,1,10,9,0,5,5,8,4,6,2,0,4,8,0,4,3,0,0,8,10,6,4,2,4,5,5,5,1,8,9,0,10,3,0,4,5,1
n24,0,0,5,8,0,7,5,4,7,3,0,8,8,1,10,9,0,5,5,8,4,6,2,0,4,8,0,4,3,0,0,8,10,6,4,2,4,5,5,5,1,8,9,5,0,10,0,4,5,1
n23,0,0,5,8,0,7,5,4,7,3,0,8,8,1,10,9,5,5,5,8,4,6,2,0,4,8,0,4,3,0,0,8,10,6,4,2,4,5,5,5,1,8,9,0,0,10,0,4,5,1
n30,0,0,3,8,0,7,5,0,7,3,0,0,2,1,10,9,0,5,5,8,4,6,2,0,4,8,0,4,3,3,0,8,10,6,4,2,8,5,8,5,1,8,9,9,1,3,0,4,5,1
n29,0,0,0,8,0,7,5,2,7,3,0,0,2,1,10,9,0,5,5,8,4,6,2,0,4,8,0,4,3,3,0,8,10,6,4,2,8,5,8,5,1,8,9,9,1,3,0,4,5,1
n32,0,6,0,8,4,7,5,4,7,3,0,0,0,0,10,9,0,5,5,8,4,6,2,10,4,8,0,4,3,3,0,8,10,6,4,2,8,5,8,5,1,8,9,9,1,3,0,4,5,1
