cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n16,0,0,9,2,6,4,6,9,5,4,6,0,1,4,1,1,8,9,9,4,9,6,5,1,6,8,4,6,7,9,4,8,0,5,10,7,0,5,5,9,7,10,9,4,1,3,8,3,4,6,7,7,1,0,0,3,0,0,9,1,1,1,1,0,5,3,0,9,5,8
n15,0,0,0,2,6,4,6,9,5,4,6,6,1,4,1,1,8,9,9,4,9,6,5,1,6,8,4,6,7,9,4,8,0,5,10,7,0,5,5,9,7,10,9,4,1,3,8,3,4,6,7,7,1,0,0,3,0,0,9,1,1,1,1,0,5,3,9,9,0,8
n18,9,0,0,2,6,4,6,9,5,4,6,0,1,4,1,1,8,9,9,4,9,6,5,1,6,0,4,6,7,9,4,8,0,5,10,7,9,5,0,9,7,10,5,4,1,3,8,3,4,6,7,7,1,6,0,3,0,0,9,1,1,1,1,0,5,3,0,9,0,8
n17,0,0,0,2,6,4,6,9,5,4,6,0,1,4,1,1,8,9,9,4,9,6,5,1,6,10,4,6,7,9,4,8,0,5,10,7,0,5,0,9,7,10,0,4,1,3,8,3,4,6,7,7,1,6,0,3,0,0,9,1,1,1,1,0,5,3,0,9,8,8
n22,5,0,0,2,6,4,6,9,5,4,6,0,1,0,1,1,8,0,9,4,9,6,5,1,6,0,4,6,7,9,4,8,6,5,10,7,0,5,0,9,7,10,0,4,1,3,8,3,4,6,7,7,1,8,0,3,9,0,9,1,1,1,1,0,5,3,0,9,6,8
n21,5,0,10,2,6,4,6,9,5,4,6,0,1,7,1,1,8,0,9,4,9,6,5,1,6,0,4,6,7,9,4,8,6,5,10,7,0,5,0,9,7,10,0,4,1,3,8,3,4,6,7,7,1,8,0,3,9,3,9,1,1,1,1,0,5,3,8,9,0,8
n24,0,0,0,2,6,4,6,9,5,4,6,0,1,1,1,1,8,0,9,4,9,6,5,1,6,0,4,6,7,9,4,8,7,5,10,7,0,5,5,9,7,10,0,4,1,3,8,3,4,6,7,7,1,0,5,3,9,0,9,1,1,1,1,0,5,3,0,9,0,8
n23,0,0,5,2,6,4,6,9,5,4,6,5,1,1,1,1,8,0,9,4,9,6,5,1,6,0,4,6,7,9,4,8,0,5,10,7,0,5,0,9,7,10,0,4,1,3,8,3,4,6,7,7,1,0,5,3,9,2,9,1,1,1,1,0,5,3,3,9,10,8
n30,5,0,0,2,6,4,6,3,5,4,6,3,1,4,1,1,8,0,9,4,9,6,5,1,6,1,4,6,7,0,4,8,5,0,10,7,9,5,0,9,7,10,4,4,1,3,8,3,4,5,7,7,1,0,6,3,7,7,0,1,1,1,1,0,5,0,0,9,8,8
n29,5,1,0,2,6,4,6,0,5,4,6,0,1,4,1,1,8,0,9,4,9,6,5,1,6,1,4,6,7,0,4,8,5,0,10,7,9,5,0,9,7,10,0,4,1,3,8,3,4,5,7,7,1,0,6,3,0,7,0,1,1,1,1,9,5,0,0,9,8,8
