cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n16,6,1,4,9,8,8,4,5,0,5,5,5,0,9,9,2,9,3,3,8,3,4,5,6,2,8,3,0,6,9,6,2,3,1,8,9,0,10,5,6,5,6,10,7,6,6,6,0,5,7,10,8,5,0,4,2,7,6,6,9,5,0,0,5,8,10,1,3,0,0,1,9,3,6,4,4,10,1,10,10,5,10,4,1,2,4,6,5,5,1
n15,6,1,4,9,8,8,4,5,0,5,5,0,0,9,9,2,9,3,3,8,3,4,5,6,2,8,3,0,6,9,6,2,3,1,8,9,0,10,5,6,5,6,10,7,6,6,6,10,5,7,10,8,5,0,4,2,7,6,6,9,5,0,0,5,8,10,1,0,0,7,1,9,0,6,4,4,0,1,10,10,0,10,4,1,2,4,6,5,5,1
n18,6,1,1,2,8,8,4,5,0,5,5,0,3,9,9,2,9,3,3,8,3,4,5,6,2,8,3,10,6,0,6,2,3,1,8,9,7,10,5,5,5,6,10,7,6,6,6,0,5,7,10,8,5,4,4,2,1,6,3,9,5,3,4,5,8,10,1,0,4,0,1,9,0,6,4,4,0,1,10,10,7,10,4,1,2,4,6,5,5,1
n17,6,1,1,0,8,8,4,5,5,5,5,0,3,9,9,2,9,3,3,8,3,4,5,6,2,8,3,0,6,10,6,2,3,1,8,9,0,10,5,0,5,6,10,7,6,6,6,9,5,7,10,8,5,0,4,2,0,6,0,9,5,3,4,5,8,10,1,0,0,0,1,9,3,6,4,4,0,1,10,10,0,10,4,1,2,4,6,5,5,1
n22,6,7,0,1,8,8,4,5,4,5,5,0,0,9,9,0,9,3,3,8,3,4,5,6,6,8,3,2,6,0,6,0,3,1,8,9,8,10,5,0,5,6,10,0,6,6,6,0,5,1,10,8,5,0,4,2,1,6,0,9,8,0,9,5,8,10,1,0,0,0,8,9,0,6,4,4,8,1,10,10,0,10,4,1,2,10,6,5,5,1
n21,6,7,0,1,8,8,4,5,4,5,5,0,0,9,9,0,9,3,3,8,3,4,5,6,6,8,3,2,6,0,6,7,3,1,8,9,8,10,5,0,5,6,10,0,6,6,6,0,5,1,10,8,5,4,4,2,1,6,0,9,8,0,9,5,8,10,1,0,0,0,8,9,0,6,4,4,0,1,10,10,10,10,4,1,2,10,6,5,5,1
n24,6,0,0,6,8,8,4,5,0,5,5,2,0,9,9,0,9,3,3,8,3,4,5,6,9,8,3,2,6,0,6,0,3,1,8,9,8,10,5,0,5,6,10,0,6,6,6,0,5,1,10,8,5,0,4,2,1,6,0,9,8,10,9,5,8,10,1,0,0,0,8,9,0,6,4,4,0,1,10,10,0,10,4,1,2,10,6,5,5,1
n23,6,0,0,6,8,8,4,5,4,5,5,2,0,9,9,0,9,3,3,8,3,4,5,6,0,8,3,2,6,0,6,2,3,1,8,9,8,10,5,0,5,6,10,0,6,6,6,10,5,1,10,8,5,0,4,2,1,6,10,9,8,0,9,5,8,10,1,0,7,0,8,9,0,6,4,4,0,1,10,10,7,10,4,1,2,10,6,5,5,1
n30,6,0,8,0,8,8,4,5,5,5,5,0,5,9,9,0,9,0,3,8,3,4,5,6,5,8,3,10,6,6,6,0,6,1,8,9,0,10,5,2,5,6,10,1,6,6,6,0,5,8,10,8,5,3,4,2,8,6,2,9,10,10,0,5,8,10,1,0,5,2,0,0,1,6,4,4,2,1,10,10,0,10,4,1,2,7,6,5,5,1
n29,6,4,8,0,8,8,4,5,5,5,5,0,0,9,9,0,9,0,3,8,3,4,5,6,5,8,3,10,6,6,6,0,6,1,8,9,7,10,5,2,5,6,10,1,6,6,6,0,5,8,10,8,5,3,4,2,8,6,2,9,10,10,0,5,8,10,1,0,5,2,0,0,1,6,4,4,2,1,10,10,0,10,4,1,2,7,6,5,5,1
