k rep nodeID nodeDepth brlen
10 rep001 n0 1 0.10536051565782628
10 rep001 n1 2 0.11778303565638351
10 rep001 n10 6 0.40546510810816444
10 rep001 n100 9 0.40546510810816444
10 rep001 n101 6 0.05268025782891314
10 rep001 n102 6 0.1823215567939546
10 rep001 n103 7 0.2231435513142097
10 rep001 n104 7 0.2231435513142097
10 rep001 n105 8 0.2876820724517809
10 rep001 n106 8 0.6931471805599453
10 rep001 n107 9 0.05268025782891314
10 rep001 n108 9 0.6931471805599453
10 rep001 n109 9 1.09861228866811
10 rep001 n11 7 4.605170185988091
10 rep001 n110 9 0.05268025782891314
10 rep001 n111 8 0.2876820724517809
10 rep001 n112 8 0.2876820724517809
10 rep001 n113 9 0.40546510810816444
10 rep001 n114 9 1.09861228866811
10 rep001 n115 9 0.05268025782891314
10 rep001 n116 9 0.05268025782891314
10 rep001 n117 7 0.1823215567939546
10 rep001 n118 7 0.40546510810816444
10 rep001 n119 8 0.6931471805599453
10 rep001 n12 7 0.05268025782891314
10 rep001 n120 8 0.05268025782891314
10 rep001 n121 9 0.2876820724517809
10 rep001 n122 9 0.2876820724517809
10 rep001 n123 9 0.05268025782891314
10 rep001 n124 9 0.05268025782891314
10 rep001 n125 8 0.2231435513142097
10 rep001 n126 8 0.5108256237659907
10 rep001 n127 9 0.05268025782891314
10 rep001 n128 9 0.05268025782891314
10 rep001 n129 9 0.6931471805599453
10 rep001 n13 8 0.6931471805599453
10 rep001 n130 9 0.05268025782891314
10 rep001 n131 4 0.8472978603872036
10 rep001 n132 4 0.05268025782891314
10 rep001 n133 5 0.05268025782891314
10 rep001 n134 5 0.05268025782891314
10 rep001 n135 6 0.15415067982725836
10 rep001 n136 6 0.3364722366212129
10 rep001 n137 7 0.5108256237659907
10 rep001 n138 7 0.5108256237659907
10 rep001 n139 8 1.09861228866811
10 rep001 n14 8 0.05268025782891314
10 rep001 n140 8 0.05268025782891314
10 rep001 n141 9 0.05268025782891314
10 rep001 n142 9 0.05268025782891314
10 rep001 n143 9 0.05268025782891314
10 rep001 n144 9 0.05268025782891314
10 rep001 n145 8 0.05268025782891314
10 rep001 n146 8 0.40546510810816444
10 rep001 n147 9 0.05268025782891314
10 rep001 n148 9 0.05268025782891314
10 rep001 n149 9 0.05268025782891314
10 rep001 n15 9 0.6931471805599453
10 rep001 n150 9 0.40546510810816444
10 rep001 n151 7 0.05268025782891314
10 rep001 n152 7 0.05268025782891314
10 rep001 n153 8 0.05268025782891314
10 rep001 n154 8 0.05268025782891314
10 rep001 n155 9 0.05268025782891314
10 rep001 n156 9 0.6931471805599453
10 rep001 n157 9 0.1823215567939546
10 rep001 n158 9 0.1823215567939546
10 rep001 n159 8 0.1823215567939546
10 rep001 n16 9 0.05268025782891314
10 rep001 n160 8 0.40546510810816444
10 rep001 n161 9 0.05268025782891314
10 rep001 n162 9 0.05268025782891314
10 rep001 n163 9 0.05268025782891314
10 rep001 n164 9 0.5108256237659907
10 rep001 n165 6 0.15415067982725836
10 rep001 n166 6 0.3364722366212129
10 rep001 n167 7 0.05268025782891314
10 rep001 n168 7 1.6094379124341005
10 rep001 n169 8 0.05268025782891314
10 rep001 n17 9 0.05268025782891314
10 rep001 n170 8 0.05268025782891314
10 rep001 n171 9 0.05268025782891314
10 rep001 n172 9 0.05268025782891314
10 rep001 n173 9 0.05268025782891314
10 rep001 n174 9 0.05268025782891314
10 rep001 n175 8 0.916290731874155
10 rep001 n176 8 0.05268025782891314
10 rep001 n177 9 0.2231435513142097
10 rep001 n178 9 0.05268025782891314
10 rep001 n179 9 0.05268025782891314
10 rep001 n18 9 0.05268025782891314
10 rep001 n180 9 0.05268025782891314
10 rep001 n181 7 0.1823215567939546
10 rep001 n182 7 0.1823215567939546
10 rep001 n183 8 0.5108256237659907
10 rep001 n184 8 0.05268025782891314
10 rep001 n185 9 0.05268025782891314
10 rep001 n186 9 0.2231435513142097
10 rep001 n187 9 0.05268025782891314
10 rep001 n188 9 0.05268025782891314
10 rep001 n189 8 0.05268025782891314
10 rep001 n19 8 0.05268025782891314
10 rep001 n190 8 0.05268025782891314
10 rep001 n191 9 0.05268025782891314
10 rep001 n192 9 0.2231435513142097
10 rep001 n193 9 0.05268025782891314
10 rep001 n194 9 0.2231435513142097
10 rep001 n195 5 0.40546510810816444
10 rep001 n196 5 0.05268025782891314
10 rep001 n197 6 0.40546510810816444
10 rep001 n198 6 1.09861228866811
10 rep001 n199 7 0.05268025782891314
10 rep001 n2 2 0.11778303565638351
10 rep001 n20 8 0.05268025782891314
10 rep001 n200 7 0.05268025782891314
10 rep001 n201 8 4.605170185988091
10 rep001 n202 8 0.05268025782891314
